k,inertia_eval,inertia_full,silhouette_mean,gap,gap_std,stability_ari_mean,centroid_separation,min_cluster_share,cluster_entropy,passes_min_cluster_share,passes_min_k,eligible_k_for_selection,method_pick_elbow,method_pick_silhouette,method_pick_gap,selected_k
3,46098.67908313005,267321.68448920676,0.18358784310443702,1.5201359460747081,0.003020119256754467,0.9977112453882931,0.28724687882718675,0.20905097676569181,1.0598666528004153,True,False,False,False,False,False,False
4,41697.79917138423,242012.14471516918,0.17267703867491785,1.5479270826581768,0.00402119605918097,0.9814194262967604,0.2868611502750387,0.19361923477054677,1.3612068347796438,True,False,False,False,False,False,False
5,38962.152099186926,225661.34837276436,0.16873830741237042,1.5768354945977183,0.004835236166940663,0.7070181840990973,0.2831079894339546,0.14365391284244597,1.575031115683197,True,True,True,False,True,False,True
6,36494.07142369693,211231.3562049873,0.16645428889982758,1.6061234716784138,0.005093735673224171,0.6115819502424967,0.27909302163170674,0.08634839902901399,1.7163509720521266,True,True,True,False,False,False,False
7,34516.174486015545,199507.76847019946,0.1492801791749789,1.6337840326059787,0.002658159944597021,0.9794798037646203,0.269048280826496,0.0847300890070512,1.9169465202961182,True,True,True,True,False,False,False
8,33102.32486572955,190947.48727351497,0.1444102824624688,1.6473326651786167,0.005251048909846425,0.7275200964646867,0.26224775956341395,0.08247601433360305,2.062925099293957,True,True,True,False,False,False,False
9,31796.891570925603,183587.66292097757,0.14941684912930356,1.6632485814213425,0.004710346068686609,0.8747038515712792,0.26279887037980504,0.07822795052595076,2.1744186885605776,True,True,True,False,False,True,False
10,30842.364528761093,178035.9322905241,0.15335528535205073,1.673185230246144,0.0031251551191805206,0.8238553036040529,0.2661366535400906,0.027915847878857935,2.2360188310656115,False,True,False,False,False,False,False
