pattern_cluster,Crosses,ShotRate,MeanShotxG,SharePct
P1,9652,0.19757563199336925,0.10568686284813451,27.89272916425847
P2,8354,0.20205889394302132,0.1091604761904762,24.14171772049474
P3,6494,0.04927625500461965,0.09759187500000001,18.766616576118366
P4,5133,0.2452756672511202,0.13932084327764518,14.833545254883829
P5,4971,0.3524441762220881,0.12523076043453402,14.365391284244597
