pattern_cluster,Crosses,ShotRate,MeanShotxG,SharePct,abs_x,abs_y,abs_x_rec,abs_y_rec,delta_abs_x,switch_side,MaxHeight,NumAttInBox,NumDefInBox,box_balance,pattern_name,suggested_name,start_zone,width_zone,trajectory,height_level,side_mode
P1,9652,0.19757563199336925,0.10568686284813451,27.89272916425847,42.555127434728554,25.315200994612518,45.14040419544641,5.138947301100026,2.3228396009209513,0.0007252382925818483,2.359490918393451,3.682552838789888,6.084852880232076,-2.4023000414421882,high_start|halfspace|to_high|level|low|same_side,Grundlinie-Halbraum-Neutral-Typ,grundlinie,halbraum,neutral,flach,gleichseite
P2,8354,0.20205889394302132,0.1091604761904762,24.14171772049474,34.16803447450323,27.365126885324393,42.01664263500141,5.569112242013006,7.913562340966921,0.07421594445774479,2.505675713881821,1.6438831697390472,2.74227914771367,-1.0983959779746229,deep_start|wing|to_deep|forward|medium|same_side,Fruehe Fluegelhereingabe,frueh,breit,vorwaerts,mittel,gleichseite
P3,6494,0.04927625500461965,0.09759187500000001,18.766616576118366,41.05173082845704,26.358497074222356,42.090937788728056,23.661024022174317,1.0392069602710194,0.08638743455497382,0.9737342161995689,2.6872497690175545,4.526331998768094,-1.839082229750539,mid_start|wing|to_deep|level|low|same_side,Rueckraumorientierte Flanke,zwischenraum,breit,rueckraum,flach,gleichseite
P4,5133,0.2452756672511202,0.13932084327764518,14.833545254883829,32.60695110072083,25.222803428794077,45.644342489772065,6.154607442041691,13.037391389051235,0.9472043639197351,4.936875121761153,2.8188194038573933,4.311903370348724,-1.4930839664913307,deep_start|central|to_high|forward|high|switch,Hohe Seitenwechsel-Flanke,frueh,zentral,vorwaerts,hoch,seitenwechsel
P5,4971,0.3524441762220881,0.12523076043453402,14.365391284244597,44.18923154294911,25.193818145242407,44.180370146851736,5.55864815932408,-0.008861396097364674,0.9889358278012472,4.544733454033394,3.5503922751961374,5.954536310601489,-2.404144035405351,high_start|central|to_mid|level|high|switch,Hoher Grundlinien-Rueckraumball,grundlinie,zentral,rueckraum,hoch,seitenwechsel
