MatchStateForTeam,Crosses,ShotRate,MeanShotxG
drawing,17243,0.19497767209882272,0.11616558402860548
losing,11226,0.19971494744343488,0.11029526151095218
winning,6135,0.21548492257538712,0.13169741641337385
