pattern_cluster,Crosses,ShotRate,ShotRateDiffVsGlobal,MeanShotxG,MeanShotxGDiffVsGlobal,TopFeatureDiff1,TopFeatureDiff2,TopFeatureDiff3,pattern_name,suggested_name,start_zone,width_zone,trajectory,height_level,side_mode
P1,9652,0.19757563199336925,-0.002574639651527294,0.10568686284813451,-0.011536469037811359,switch_side:-0.68,NumDefInBox:+0.64,abs_x:+0.51,high_start|halfspace|to_high|level|low|same_side,Grundlinie-Halbraum-Neutral-Typ,grundlinie,halbraum,neutral,flach,gleichseite
P2,8354,0.20205889394302132,0.0019086222981247736,0.10916047619047617,-0.008062855695469703,NumDefInBox:-0.91,NumAttInBox:-0.73,abs_x:-0.69,deep_start|wing|to_deep|forward|medium|same_side,Fruehe Fluegelhereingabe,frueh,breit,vorwaerts,mittel,gleichseite
P3,6494,0.04927625500461965,-0.1508740166402769,0.097591875,-0.019631456885945878,abs_y_rec:+1.65,MaxHeight:-0.96,delta_abs_x:-0.55,mid_start|wing|to_deep|level|low|same_side,Rueckraumorientierte Flanke,zwischenraum,breit,rueckraum,flach,gleichseite
P4,5133,0.2452756672511202,0.04512539560622367,0.1393208432776452,0.02209751139169934,switch_side:+1.35,delta_abs_x:+1.25,MaxHeight:+1.04,deep_start|central|to_high|forward|high|switch,Hohe Seitenwechsel-Flanke,frueh,zentral,vorwaerts,hoch,seitenwechsel
P5,4971,0.3524441762220881,0.15229390457719158,0.12523076043453402,0.008007428548588144,switch_side:+1.44,MaxHeight:+0.85,abs_x:+0.74,high_start|central|to_mid|level|high|switch,Hoher Grundlinien-Rueckraumball,grundlinie,zentral,rueckraum,hoch,seitenwechsel
