season,league,match_id,crosses_openplay,shot_links,share_links_per_cross
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMS,13,1,0.07692307692307693
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMT,21,3,0.14285714285714285
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMU,12,4,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMV,32,4,0.125
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMW,12,4,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMX,18,9,0.5
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMY,20,3,0.15
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YMZ,24,2,0.08333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN0,27,5,0.18518518518518517
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN1,15,2,0.13333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN2,29,2,0.06896551724137931
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN3,14,5,0.35714285714285715
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN4,20,5,0.25
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN5,15,6,0.4
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN6,30,6,0.2
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN7,26,6,0.23076923076923078
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN8,31,8,0.25806451612903225
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YN9,21,7,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNA,13,5,0.38461538461538464
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNB,34,5,0.14705882352941177
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNC,23,5,0.21739130434782608
